date,close
2013-04-28,134.21
2013-04-29,144.54
2013-04-30,139
2013-05-01,116.99
2013-05-02,105.21
2013-05-03,97.75
2013-05-04,112.5
2013-05-05,115.91
2013-05-06,112.3
2013-05-07,111.5
2013-05-08,113.57
2013-05-09,112.67
2013-05-10,117.2
2013-05-11,115.24
2013-05-12,115
2013-05-13,117.98
2013-05-14,111.5
2013-05-15,114.22
2013-05-16,118.76
2013-05-17,123.02
2013-05-18,123.5
2013-05-19,121.99
2013-05-20,122
2013-05-21,122.88
2013-05-22,123.89
2013-05-23,126.7
2013-05-24,133.2
2013-05-25,131.98
2013-05-26,133.48
2013-05-27,129.75
2013-05-28,129
2013-05-29,132.3
2013-05-30,128.8
2013-05-31,129
2013-06-01,129.3
2013-06-02,122.29
2013-06-03,122.22
2013-06-04,121.42
2013-06-05,121.65
2013-06-06,118
2013-06-07,111.5
2013-06-08,108.3
2013-06-09,100
2013-06-10,106.35
2013-06-11,108.9
2013-06-12,108.15
2013-06-13,104
2013-06-14,99.98
2013-06-15,99.99
2013-06-16,99.51
2013-06-17,101.7
2013-06-18,107.4
2013-06-19,108.25
2013-06-20,110.15
2013-06-21,109.5
2013-06-22,108.3
2013-06-23,107.6
2013-06-24,102.74
2013-06-25,103.95
2013-06-26,104
2013-06-27,101.44
2013-06-28,94.65
2013-06-29,94.99
2013-06-30,96.61
2013-07-01,88.05
2013-07-02,90.13
2013-07-03,77.53
2013-07-04,80.53
2013-07-05,68.43
2013-07-06,70.28
2013-07-07,74.56
2013-07-08,76.52
2013-07-09,76.69
2013-07-10,86.76
2013-07-11,88.98
2013-07-12,93.59
2013-07-13,98.13
2013-07-14,94.69
2013-07-15,98.4
2013-07-16,97.45
2013-07-17,98.5
2013-07-18,90.58
2013-07-19,92.17
2013-07-20,89.39
2013-07-21,90.76
2013-07-22,91.61
2013-07-23,95.56
2013-07-24,94.51
2013-07-25,96.9
2013-07-26,96.02
2013-07-27,94.12
2013-07-28,99.76
2013-07-29,101.2
2013-07-30,107.99
2013-07-31,106.09
2013-08-01,104
2013-08-02,104.5
2013-08-03,104
2013-08-04,105.14
2013-08-05,106.22
2013-08-06,106.75
2013-08-07,106.75
2013-08-08,103
2013-08-09,102.8
2013-08-10,103
2013-08-11,105
2013-08-12,106.64
2013-08-13,109
2013-08-14,112.56
2013-08-15,109.99
2013-08-16,108.99
2013-08-17,113.5
2013-08-18,113.5
2013-08-19,119
2013-08-20,121.2
2013-08-21,123.3
2013-08-22,121.15
2013-08-23,118.5
2013-08-24,120.05
2013-08-25,122.11
2013-08-26,120.06
2013-08-27,126.5
2013-08-28,122.62
2013-08-29,122.39
2013-08-30,133.49
2013-08-31,135.35
2013-09-01,138.34
2013-09-02,135.85
2013-09-03,136.77
2013-09-04,126.74
2013-09-05,126.43
2013-09-06,119.15
2013-09-07,124.15
2013-09-08,121.66
2013-09-09,127.11
2013-09-10,125.91
2013-09-11,135.25
2013-09-12,133.13
2013-09-13,134.98
2013-09-14,129.22
2013-09-15,130.37
2013-09-16,131.72
2013-09-17,131.66
2013-09-18,131.47
2013-09-19,129.65
2013-09-20,127.04
2013-09-21,127.43
2013-09-22,129.12
2013-09-23,125.95
2013-09-24,127.25
2013-09-25,128.22
2013-09-26,128.38
2013-09-27,133.78
2013-09-28,134.78
2013-09-29,137.34
2013-09-30,133
2013-10-01,132.18
2013-10-02,114.13
2013-10-03,123.63
2013-10-04,129.01
2013-10-05,128.55
2013-10-06,129
2013-10-07,126.94
2013-10-08,126
2013-10-09,130.69
2013-10-10,130.59
2013-10-11,130.9
2013-10-12,135.19
2013-10-13,138.13
2013-10-14,140.52
2013-10-15,145.24
2013-10-16,142.55
2013-10-17,146.25
2013-10-18,155.96
2013-10-19,172.42
2013-10-20,174.61
2013-10-21,182.21
2013-10-22,193.76
2013-10-23,213.62
2013-10-24,198.23
2013-10-25,186.69
2013-10-26,177.32
2013-10-27,196.44
2013-10-28,198.55
2013-10-29,204.39
2013-10-30,199.97
2013-10-31,204
2013-11-01,206.18
2013-11-02,206.22
2013-11-03,215.05
2013-11-04,229.1
2013-11-05,245.24
2013-11-06,262.5
2013-11-07,296.41
2013-11-08,338.11
2013-11-09,339.11
2013-11-10,326.62
2013-11-11,342.44
2013-11-12,360.33
2013-11-13,407.37
2013-11-14,420.2
2013-11-15,417.95
2013-11-16,440.22
2013-11-17,492.11
2013-11-18,703.56
2013-11-19,584.61
2013-11-20,590.83
2013-11-21,722.43
2013-11-22,771.44
2013-11-23,797.82
2013-11-24,774.25
2013-11-25,799.11
2013-11-26,928.1
2013-11-27,1001.96
2013-11-28,1031.95
2013-11-29,1131.97
2013-11-30,1129.43
2013-12-01,955.85
2013-12-02,1043.33
2013-12-03,1078.28
2013-12-04,1151.17
2013-12-05,1045.11
2013-12-06,829.45
2013-12-07,698.23
2013-12-08,795.87
2013-12-09,893.19
2013-12-10,988.51
2013-12-11,878.48
2013-12-12,873.26
2013-12-13,892.58
2013-12-14,872.6
2013-12-15,876.12
2013-12-16,705.97
2013-12-17,682.12
2013-12-18,522.7
2013-12-19,691.96
2013-12-20,625.32
2013-12-21,605.66
2013-12-22,617.18
2013-12-23,673.41
2013-12-24,665.58
2013-12-25,682.21
2013-12-26,761.98
2013-12-27,735.07
2013-12-28,727.83
2013-12-29,745.05
2013-12-30,756.13
2013-12-31,754.01
2014-01-01,771.4
2014-01-02,802.39
2014-01-03,818.72
2014-01-04,859.51
2014-01-05,933.53
2014-01-06,953.29
2014-01-07,802
2014-01-08,842.72
2014-01-09,846.86
2014-01-10,868.48
2014-01-11,913.95
2014-01-12,863.22
2014-01-13,841.2
2014-01-14,833.27
2014-01-15,860.9
2014-01-16,835.63
2014-01-17,814.64
2014-01-18,840
2014-01-19,870.96
2014-01-20,870.2
2014-01-21,863.91
2014-01-22,845.59
2014-01-23,822.04
2014-01-24,797.07
2014-01-25,853.61
2014-01-26,885.28
2014-01-27,771.39
2014-01-28,812.51
2014-01-29,826
2014-01-30,819.03
